source,target,frequency,traj_ids
73,51,2,"[14, 735]"
51,0,2,"[14, 735]"
0,557,2,"[15, 690]"
557,74,2,"[15, 690]"
74,556,1,[15]
556,565,1,[15]
565,75,1,[15]
75,0,1,[15]
0,76,12,"[17, 25, 32, 360, 476, 633, 641, 724, 1024, 1034, 1039]"
76,77,7,"[17, 25, 360, 633, 641, 1034, 1039]"
77,78,8,"[17, 25, 212, 360, 633, 641, 1034, 1039]"
78,0,37,"[17, 25, 32, 212, 271, 333, 355, 360, 470, 487, 490, 530, 531, 544, 548, 550, 552, 556, 560, 565, 571, 633, 641, 698, 711, 717, 724, 741, 746, 748, 750, 938, 963, 977, 1025, 1034, 1039]"
0,79,10,"[18, 215, 339, 361, 553, 616, 631, 719, 746, 1027]"
79,80,4,"[18, 215, 746, 1027]"
80,79,3,"[18, 215, 1027]"
79,0,7,"[18, 215, 339, 361, 616, 719, 1027]"
0,81,1,[19]
81,82,1,[19]
82,83,4,"[19, 613, 747, 933]"
83,373,2,"[19, 747]"
373,84,2,"[19, 747]"
84,89,1,[19]
89,85,1,[19]
85,86,2,"[19, 270]"
86,87,3,"[19, 270, 747]"
87,88,2,"[19, 270]"
88,87,2,"[19, 270]"
87,86,6,"[19, 270, 275, 280, 717, 984]"
86,85,7,"[19, 270, 275, 280, 747, 978, 984]"
85,89,5,"[19, 270, 280, 747, 978]"
89,84,5,"[19, 270, 280, 747, 978]"
84,373,6,"[19, 270, 275, 280, 717, 984]"
373,83,5,"[19, 270, 275, 717, 984]"
83,82,4,"[19, 613, 933, 978]"
82,0,2,"[19, 613]"
0,90,1,[19]
90,91,4,"[19, 287, 289, 565]"
91,92,7,"[19, 280, 537, 626, 629, 695, 982]"
92,93,4,"[19, 785, 789, 982]"
93,94,3,"[19, 785, 789]"
94,95,3,"[19, 137, 789]"
95,96,3,"[19, 137, 789]"
96,97,2,"[19, 137]"
97,98,4,"[19, 137, 280, 785]"
98,99,17,"[19, 137, 280, 337, 537, 565, 626, 629, 695, 727, 783, 785, 787, 789, 791, 793, 982]"
99,0,17,"[19, 137, 280, 337, 537, 565, 626, 629, 695, 727, 783, 785, 787, 789, 791, 793, 982]"
0,100,5,"[21, 137, 203, 218, 1030]"
100,41,7,"[21, 137, 203, 218, 272, 931, 1030]"
46,102,1,[22]
102,46,1,[22]
46,45,3,"[22, 216, 718]"
0,435,1,[22]
435,103,1,[22]
0,104,11,"[23, 29, 30, 214, 366, 618, 940, 1023, 1038, 1039]"
104,105,11,"[23, 29, 30, 214, 366, 618, 940, 1023, 1038, 1039]"
105,106,11,"[23, 29, 30, 214, 366, 618, 940, 1023, 1038, 1039]"
106,107,19,"[23, 28, 29, 30, 273, 278, 282, 357, 362, 366, 557, 618, 620, 621, 970, 973, 976, 1038]"
107,108,9,"[23, 273, 278, 357, 557, 618, 620, 621, 970]"
108,109,6,"[23, 278, 357, 620, 621, 970]"
109,110,6,"[23, 278, 357, 620, 621, 970]"
110,109,4,"[23, 278, 357, 620]"
109,108,4,"[23, 278, 357, 620]"
108,107,9,"[23, 273, 278, 357, 557, 618, 620, 621, 970]"
107,106,19,"[23, 28, 29, 30, 273, 278, 282, 357, 362, 366, 557, 618, 620, 621, 970, 973, 976, 1038]"
106,105,15,"[23, 28, 29, 30, 214, 273, 357, 362, 557, 621, 711, 736, 940, 1038]"
105,0,4,"[23, 30, 621, 940]"
0,111,10,"[24, 29, 357, 359, 558, 568, 720, 732, 949, 974]"
111,0,9,"[24, 29, 357, 359, 558, 568, 720, 732, 974]"
0,112,12,"[24, 29, 357, 359, 558, 640, 720, 732, 949, 974, 1038]"
112,113,4,"[24, 29, 357]"
113,114,5,"[24, 29, 357, 752]"
114,115,6,"[24, 29, 357, 558, 752]"
115,116,10,"[24, 357, 359, 558, 640, 720, 731, 732, 949, 974]"
116,117,9,"[24, 357, 359, 577, 640, 724, 732, 949, 974]"
117,118,8,"[24, 357, 359, 577, 640, 713, 949, 974]"
118,441,6,"[24, 359, 482, 577, 640, 949]"
441,119,1,[24]
119,440,6,"[25, 358, 360, 577, 579, 950]"
440,0,7,"[25, 358, 360, 577, 579, 641, 950]"
0,120,2,"[28, 362]"
120,106,3,"[28, 362, 483]"
105,104,11,"[28, 29, 214, 273, 357, 362, 557, 711, 736, 1038]"
104,0,10,"[28, 29, 214, 273, 357, 362, 557, 736, 1038]"
115,532,4,"[29, 568]"
532,115,4,"[29, 568]"
115,121,7,"[29, 220, 568, 731, 1038]"
121,533,3,"[29, 568]"
533,122,3,"[29, 568]"
122,121,7,"[29, 220, 568, 731, 1038]"
121,115,7,"[29, 220, 568, 731, 1038]"
115,114,1,[29]
114,113,3,"[29, 220, 568]"
113,123,2,"[29, 568]"
123,124,4,"[29, 568, 740]"
124,0,7,"[29, 568, 637, 732, 740]"
0,577,4,"[29, 640, 731, 1038]"
577,0,3,"[29, 640, 1038]"
115,125,4,"[29, 568, 637, 740]"
125,580,2,"[29, 740]"
580,123,2,"[29, 740]"
76,78,1,[32]
0,78,32,"[33, 271, 274, 279, 328, 333, 355, 470, 487, 530, 543, 547, 550, 555, 559, 564, 571, 698, 711, 717, 726, 741, 746, 748, 750, 803, 938, 963, 977, 984, 1025]"
0,126,3,"[35, 45, 720]"
126,0,3,"[35, 45, 720]"
0,127,3,"[39, 507, 1065]"
127,128,3,"[39, 507, 1065]"
128,0,3,"[39, 507, 1065]"
0,129,18,"[42, 120, 165, 201, 394, 414, 447, 449, 452, 455, 456, 457, 463, 466, 656, 681, 827, 1006]"
129,0,18,"[42, 120, 165, 201, 394, 414, 447, 449, 452, 455, 456, 457, 463, 466, 656, 681, 827, 1006]"
0,306,1,[42]
306,317,4,"[42, 149, 174, 998]"
317,130,4,"[42, 149, 174, 998]"
