source,target,frequency,traj_ids
271,272,3,"[120, 387, 461]"
272,0,3,"[120, 387, 461]"
0,312,2,"[120, 737]"
312,0,3,"[120, 151, 737]"
0,272,2,"[120, 731]"
272,271,2,"[120, 731]"
271,0,6,"[120, 408, 441, 577, 731, 827]"
0,273,2,"[123, 385]"
273,155,2,"[123, 385]"
155,156,2,"[123, 385]"
156,0,2,"[123, 385]"
220,274,6,"[125, 395, 586, 592, 596, 1095]"
274,542,4,"[125, 586, 596, 1095]"
542,221,1,[125]
227,253,4,"[129, 469, 679, 830]"
253,252,2,"[129, 679]"
231,251,3,"[129, 813, 830]"
251,233,1,[129]
181,193,3,"[129, 679, 930]"
193,608,3,"[129, 860, 930]"
608,183,3,"[129, 860, 930]"
186,275,1,[129]
275,181,1,[129]
17,21,3,"[131, 468, 529]"
22,21,10,"[131, 200, 413, 468, 529, 606, 607, 608, 930, 1092]"
21,17,2,"[131, 468]"
17,16,12,"[131, 200, 413, 468, 604, 606, 607, 608, 858, 922, 930, 1092]"
16,15,12,"[131, 200, 413, 468, 604, 606, 607, 608, 858, 922, 930, 1092]"
15,14,13,"[131, 200, 369, 413, 468, 522, 604, 608, 831, 858, 922, 930, 1092]"
14,13,7,"[131, 200, 468, 604, 858, 922, 1092]"
13,12,8,"[131, 200, 468, 604, 831, 858, 922, 1092]"
276,277,2,"[133, 475]"
277,278,15,"[133, 213, 278, 282, 286, 475, 483, 618, 627, 934, 969, 970, 973, 976, 1023]"
278,0,23,"[133, 139, 213, 268, 282, 283, 286, 326, 474, 475, 479, 551, 613, 627, 934, 960, 969, 970, 973, 976, 991, 1022, 1023]"
41,0,1,[137]
0,279,7,"[137, 272, 335, 353, 356, 574, 710]"
279,280,5,"[137, 335, 353, 574, 710]"
280,281,5,"[137, 335, 353, 574, 710]"
281,282,5,"[137, 272, 574, 610, 710]"
282,0,10,"[137, 356, 574, 610, 619, 711, 723, 732, 747, 1031]"
0,283,5,"[137, 356, 481, 711, 968]"
283,0,4,"[137, 356, 710, 711]"
0,406,4,"[137, 287, 289, 565]"
406,91,1,[137]
91,284,8,"[137, 337, 565, 785, 787, 789, 791, 793]"
284,94,1,[137]
0,331,6,"[138, 213, 357, 620, 934, 953]"
331,278,6,"[138, 213, 357, 620, 934, 953]"
278,277,20,"[138, 213, 273, 278, 282, 286, 357, 475, 534, 557, 620, 621, 627, 711, 736, 934, 969, 970, 973, 976]"
277,276,2,"[138, 475]"
276,285,1,[138]
276,278,1,[139]
0,286,2,[139]
286,287,4,"[139, 959, 962]"
287,288,4,"[139, 959, 962]"
288,289,5,"[139, 959, 961, 962]"
289,290,5,"[139, 959, 961, 962]"
290,289,5,"[139, 959, 961, 962]"
289,288,4,"[139, 959, 961]"
288,291,3,"[139, 959, 961]"
291,286,3,"[139, 959, 961]"
286,0,6,"[139, 941, 959, 961, 962]"
288,287,1,[139]
287,286,2,"[139, 962]"
31,292,1,[141]
292,320,3,"[141, 506, 522]"
320,12,6,"[141, 200, 443, 522, 1013, 1016]"
12,216,10,"[141, 304, 443, 516, 769, 879, 903, 1013, 1019, 1100]"
216,293,5,"[141, 304, 769, 879, 903]"
293,205,5,"[141, 304, 769, 879, 903]"
211,213,3,"[141, 143, 304]"
213,212,3,"[141, 143, 304]"
210,206,1,[141]
206,214,1,[141]
12,295,3,"[141, 500, 517]"
295,319,3,"[141, 500, 517]"
319,301,1,[141]
301,296,1,[141]
296,31,4,"[141, 200, 445, 604]"
31,583,4,"[141, 736, 855, 1070]"
583,242,4,"[141, 736, 855, 1070]"
297,298,1,[141]
298,244,2,"[141, 1018]"
235,299,9,"[143, 200, 230, 397, 443, 781, 831, 1010, 1013]"
299,300,9,"[143, 200, 230, 397, 443, 781, 831, 1010, 1013]"
300,31,17,"[143, 200, 230, 369, 396, 397, 443, 468, 522, 781, 826, 831, 899, 1010, 1013, 1016]"
31,296,8,"[143, 200, 468, 506, 522, 1010, 1016, 1019]"
296,301,2,"[143, 1010]"
301,295,1,[143]
295,12,3,"[143, 468, 1019]"
12,302,5,"[143, 392, 522, 1010, 1016]"
302,205,5,"[143, 392, 522, 1010, 1016]"
205,25,14,"[143, 304, 313, 392, 506, 508, 522, 769, 770, 879, 903, 1010, 1016, 1019]"
12,292,1,[143]
292,31,3,"[143, 522, 771]"
31,236,7,"[143, 369, 397, 500, 517, 771, 915]"
236,235,9,"[143, 200, 369, 397, 445, 500, 517, 771, 915]"
235,0,7,"[143, 369, 397, 445, 512, 517, 915]"
131,303,5,"[147, 178, 805, 824, 996]"
303,133,2,"[147, 805]"
0,304,5,"[147, 187, 298, 299, 1073]"
304,305,4,"[147, 187, 298, 299]"
305,304,5,"[147, 187, 298, 299, 996]"
304,0,6,"[147, 187, 298, 299, 996, 1073]"
218,316,3,"[149, 174, 998]"
316,306,3,"[149, 174, 998]"
0,307,5,"[149, 174, 499, 888, 1002]"
307,0,5,"[149, 174, 499, 888, 1002]"
164,171,3,"[149, 197, 873]"
171,167,3,"[149, 197, 873]"
169,308,7,"[150, 198, 241, 805, 874, 927, 1055]"
308,309,3,"[150, 198, 874]"
309,169,7,"[150, 198, 241, 805, 874, 927, 1055]"
0,310,1,[151]
310,311,3,"[151, 335, 353]"
311,312,1,[151]
313,219,1,[157]
0,314,2,"[158, 317]"
314,315,2,"[158, 317]"
315,314,2,"[158, 317]"
314,0,2,"[158, 317]"
131,223,1,[162]
303,132,2,"[178, 824]"
175,318,2,"[186, 658]"
318,176,2,"[186, 658]"
177,318,2,"[186, 404]"
318,173,1,[186]
173,172,4,"[186, 489, 595, 658]"
172,0,5,"[186, 404, 489, 595, 658]"
296,321,5,"[200, 468, 522, 1016, 1019]"
321,319,4,"[200, 1013, 1016, 1019]"
319,320,4,"[200, 443, 1013, 1016]"
21,20,10,"[200, 413, 604, 606, 607, 608, 858, 922, 930, 1092]"
20,19,9,"[200, 413, 604, 606, 607, 858, 922, 930, 1092]"
19,18,7,"[200, 604, 606, 607, 858, 922, 930]"
18,17,10,"[200, 413, 604, 606, 607, 608, 858, 922, 930, 1092]"
30,292,1,[200]
292,321,2,"[200, 1018]"
321,296,3,"[200, 445, 604]"
31,300,7,"[200, 369, 396, 445, 512, 522, 826]"
300,236,2,"[200, 445]"
235,322,5,"[200, 396, 500, 771, 826]"
322,0,5,"[200, 396, 500, 771, 826]"
48,279,5,"[203, 218, 610, 931, 1030]"
279,0,8,"[203, 218, 574, 579, 729, 745, 931, 1030]"
0,324,22,"[207, 291, 293, 295, 325, 336, 350, 536, 540, 625, 629, 634, 694, 727, 732, 784, 786, 788, 790, 794, 982, 1025]"
324,0,14,"[211, 290, 292, 294, 325, 352, 541, 635, 729, 732, 745, 752, 803, 1026]"
0,537,3,"[211, 732, 803]"
537,325,3,"[211, 732, 803]"
325,326,2,"[211, 732]"
326,327,2,"[211, 732]"
327,328,2,"[211, 803]"
328,329,4,"[211, 530, 732, 803]"
329,330,3,"[211, 530, 803]"
330,0,3,"[211, 530, 803]"
0,77,1,[212]
277,332,7,"[213, 278, 282, 286, 557, 711, 973]"
332,106,7,"[213, 278, 282, 286, 557, 711, 973]"
106,336,5,"[213, 214, 286, 1023, 1039]"
336,333,5,"[213, 214, 286, 1023, 1039]"
333,334,5,"[213, 214, 286, 1023, 1039]"
334,335,6,"[213, 214, 286, 475, 1023, 1039]"
335,334,6,"[213, 214, 286, 475, 1023, 1039]"
334,106,1,[213]
106,332,7,"[213, 278, 286, 483, 970, 976, 1023]"
332,277,7,"[213, 278, 286, 483, 970, 976, 1023]"
334,333,2,"[214, 1039]"
333,106,2,"[214, 1039]"
0,47,4,"[216, 456, 519, 718]"
47,46,2,"[216, 718]"
337,51,1,[217]
52,73,9,"[217, 282, 478, 718, 721, 735, 956, 957, 992]"
73,338,6,"[217, 282, 478, 705, 957, 992]"
338,54,4,"[217, 282, 705, 957]"
54,56,1,[217]
56,339,3,"[217, 487, 957]"
339,58,3,"[217, 487, 957]"
62,340,1,[217]
340,62,1,[217]
61,341,1,[217]
341,58,1,[217]
58,339,5,"[217, 282, 473, 487, 957]"
339,56,5,"[217, 282, 473, 487, 957]"
56,55,9,"[217, 282, 473, 478, 487, 614, 722, 956, 957]"
54,342,1,[217]
342,73,3,"[217, 614, 735]"
73,52,5,"[217, 478, 487, 614, 956]"
52,51,7,"[217, 282, 473, 478, 487, 614, 956]"
51,50,5,"[217, 282, 478, 487, 956]"
50,343,2,"[217, 487]"
343,49,2,"[217, 473]"
49,0,11,"[217, 282, 473, 478, 487, 614, 718, 722, 956, 957, 992]"
0,344,6,"[219, 714, 740, 972, 1037]"
344,0,6,"[219, 714, 740, 972, 1037]"
0,413,5,"[219, 316, 408, 812, 827]"
413,345,5,"[219, 316, 408, 812, 827]"
345,346,1,[219]
346,0,7,"[219, 370, 419, 649, 809, 1060, 1061]"
4,347,1,[220]
347,348,2,"[220, 637]"
348,528,1,[220]
528,116,2,"[220, 724]"
116,115,4,"[220, 637, 732, 739]"
121,122,4,"[220, 568, 731, 1038]"
115,349,5,"[220, 568, 732, 739, 1038]"
349,114,3,"[220, 568, 739]"
113,0,1,[220]
0,350,8,"[223, 224, 418, 437, 501, 502, 650, 833]"
350,222,8,"[223, 224, 418, 437, 501, 502, 650, 833]"
222,350,7,"[223, 224, 418, 437, 502, 650, 833]"
350,0,7,"[223, 224, 418, 437, 502, 650, 833]"
0,357,5,"[227, 229, 248, 659, 667]"
357,0,5,"[227, 229, 248, 659, 667]"
240,597,4,"[230, 781, 831, 915]"
244,547,4,"[231, 243, 836, 1095]"
547,351,1,[231]
351,352,5,"[231, 238, 243, 250, 256]"
352,245,6,"[231, 238, 243, 250, 256, 1095]"
245,244,6,"[231, 238, 243, 250, 256, 1095]"
0,247,5,"[237, 243, 255, 514, 663]"
247,244,5,"[237, 243, 255, 514, 663]"
244,352,3,"[237, 239, 250]"
352,351,3,"[237, 243, 250]"
352,246,1,[239]
308,170,4,"[241, 805, 927, 1055]"
170,309,4,"[241, 805, 927, 1055]"
547,352,2,"[243, 1095]"
0,402,2,"[248, 519]"
402,354,2,"[248, 519]"
354,6,1,[248]
6,355,3,"[248, 456, 577]"
355,348,4,"[248, 281, 456, 519]"
348,5,3,"[248, 456, 519]"
5,356,4,"[248, 456, 519, 558]"
356,5,4,"[248, 456, 519, 558]"
5,347,4,"[248, 456, 519, 558]"
347,4,3,"[248, 281, 456]"
4,0,4,"[248, 281, 456, 636]"
0,454,4,"[253, 409, 725, 916]"
454,0,4,"[253, 409, 916, 996]"
244,351,1,[255]
358,369,2,"[264, 265]"
369,359,4,"[264, 265, 772, 776]"
359,360,3,"[264, 772, 776]"
360,361,2,"[264, 776]"
361,362,3,"[264, 393, 776]"
362,363,3,"[264, 393, 776]"
363,364,6,"[264, 393, 768, 772, 776, 900]"
364,0,8,"[264, 393, 713, 768, 772, 776, 900, 974]"
0,365,2,"[264, 648]"
365,366,2,"[264, 648]"
366,365,2,"[264, 648]"
365,0,2,"[264, 648]"
0,363,2,"[264, 767]"
363,362,2,"[264, 767]"
362,361,3,"[264, 767, 771]"
361,360,3,"[264, 767, 771]"
360,359,3,"[264, 767, 771]"
359,367,1,[264]
367,368,4,"[264, 768, 772, 776]"
368,369,3,"[264, 772, 776]"
369,358,1,[264]
359,118,1,[265]
118,0,1,[265]
0,370,2,"[265, 1020]"
370,0,2,"[265, 1020]"
0,117,5,"[265, 580, 713, 739, 743]"
117,0,4,"[265, 580, 724, 743]"
0,278,25,"[268, 273, 278, 282, 283, 286, 326, 474, 475, 479, 534, 551, 557, 613, 621, 627, 711, 736, 960, 969, 970, 973, 976, 991, 1022]"
278,371,4,"[268, 613, 953, 991]"
371,278,4,"[268, 613, 953, 991]"
0,619,2,"[270, 579]"
619,372,2,"[270, 579]"
372,83,2,"[270, 579]"
83,84,1,[270]
84,85,1,[270]
83,372,6,"[270, 275, 579, 717, 747, 984]"
372,374,6,"[270, 275, 579, 717, 747, 984]"
374,81,2,"[270, 717]"
81,0,3,"[270, 717, 933]"
78,375,18,"[271, 355, 470, 530, 543, 547, 550, 555, 559, 564, 571, 711, 717, 741, 746, 750, 963, 977]"
375,376,13,"[271, 355, 530, 543, 547, 550, 555, 571, 711, 717, 746, 750, 977]"
376,377,10,"[271, 355, 530, 543, 547, 550, 555, 711, 746, 977]"
377,378,13,"[271, 355, 470, 530, 543, 547, 550, 555, 559, 564, 711, 746, 977]"
378,379,3,"[271, 355, 741]"
379,380,3,"[271, 355, 746]"
380,381,2,[271]
381,382,4,"[271, 355, 746]"
382,380,1,[271]
381,383,1,[271]
383,381,3,"[271, 355, 746]"
382,384,4,"[271, 355, 711, 746]"
384,385,4,"[271, 355, 711, 746]"
385,386,2,"[271, 355]"
386,378,2,"[271, 355]"
378,377,12,"[271, 470, 530, 531, 544, 548, 571, 711, 741, 750, 900, 977]"
377,376,9,"[271, 470, 530, 571, 711, 741, 750, 900, 977]"
376,375,18,"[271, 470, 487, 490, 530, 531, 544, 548, 552, 556, 565, 571, 711, 741, 746, 750, 900, 977]"
375,78,21,"[271, 355, 470, 487, 490, 530, 531, 544, 548, 550, 552, 556, 560, 565, 571, 711, 741, 746, 750, 900, 977]"
279,48,1,[272]
39,100,2,"[272, 931]"
41,387,3,"[272, 931, 1031]"
387,388,4,"[272, 619, 967, 1031]"
388,389,4,"[272, 619, 967, 1031]"
389,281,5,"[272, 480, 619, 967, 1031]"
282,616,4,"[272, 710, 967, 1033]"
616,0,1,[272]
277,390,4,"[273, 357, 620, 621]"
390,106,4,"[273, 357, 620, 621]"
78,391,5,"[274, 698, 717, 726, 748]"
391,78,5,"[274, 698, 717, 724, 748]"
78,392,1,[274]
392,393,3,"[274, 279, 984]"
393,394,3,"[274, 279, 984]"
394,393,4,"[275, 280, 978, 984]"
393,395,4,"[275, 280, 978, 984]"
395,87,4,"[275, 280, 717, 984]"
85,84,2,"[275, 984]"
374,0,4,"[275, 579, 747, 984]"
0,536,2,"[276, 578]"
536,396,1,[276]
119,76,1,[277]
76,0,6,"[277, 476, 726, 900, 1024, 1039]"
278,331,4,"[278, 483, 618, 953]"
331,0,4,"[278, 483, 618, 953]"
78,397,3,"[279, 328, 984]"
397,621,3,"[279, 328, 984]"
621,397,3,"[279, 328, 984]"
397,398,3,"[279, 328, 984]"
398,399,3,"[279, 328, 984]"
399,392,3,"[279, 328, 984]"
373,324,1,[280]
324,91,5,"[280, 337, 626, 790, 793]"
92,400,1,[280]
400,94,5,"[280, 783, 787, 791, 793]"
94,596,4,"[280, 785, 787, 793]"
596,97,2,"[280, 785]"
0,354,1,[281]
354,355,2,"[281, 519]"
348,347,1,[281]
0,401,4,"[281, 636, 637, 975]"
401,0,4,"[281, 636, 637, 720]"
0,160,2,"[282, 766]"
160,159,1,[282]
0,5,1,[282]
5,348,2,"[282, 558]"
348,355,2,"[282, 975]"
355,6,3,"[282, 558, 975]"
6,354,3,"[282, 558, 975]"
354,7,1,[282]
7,402,1,[282]
402,0,3,"[282, 558, 731]"
106,390,2,"[282, 973]"
390,277,2,"[282, 973]"
337,343,1,[282]
343,50,2,"[282, 956]"
54,403,3,"[282, 487, 705]"
403,55,6,"[282, 473, 487, 614, 705, 992]"
59,341,3,"[282, 478, 487]"
341,60,2,"[282, 487]"
613,72,2,"[282, 956]"
72,555,3,"[282, 718, 956]"
555,574,1,[282]
574,404,2,"[282, 721]"
404,574,2,"[282, 721]"
574,613,1,[282]
613,65,2,"[282, 956]"
60,341,1,[282]
341,59,1,[282]
59,58,4,"[282, 473, 487, 957]"
55,403,3,"[282, 478, 614]"
403,405,1,[282]
405,338,1,[282]
338,52,1,[282]
50,337,4,"[282, 478, 956, 957]"
337,49,7,"[282, 478, 487, 614, 722, 956, 957]"
334,336,2,"[286, 1023]"
336,106,2,"[286, 1023]"
406,90,3,"[287, 289, 565]"
91,324,1,[287]
324,407,5,"[288, 296, 565, 791, 982]"
407,408,3,"[288, 296, 791]"
408,91,5,"[288, 296, 629, 695, 791]"
91,90,2,"[288, 296]"
90,406,1,[288]
406,0,1,[288]
91,407,5,"[289, 565, 728, 744, 751]"
407,324,6,"[289, 565, 728, 744, 751, 790]"
90,0,1,[296]
140,256,1,[297]
305,409,2,"[298, 299]"
409,410,2,"[298, 299]"
410,409,2,"[298, 299]"
409,305,2,"[298, 299]"
184,192,2,"[300, 469]"
186,185,1,[300]
185,194,1,[300]
194,182,2,"[300, 860]"
252,228,1,[300]
152,150,2,"[302, 311]"
143,145,3,"[303, 321, 853]"
411,150,2,"[303, 405]"
25,214,3,"[304, 443, 879]"
214,206,3,"[304, 443, 879]"
210,412,5,"[304, 769, 879, 880, 1017]"
412,214,1,[304]
205,515,8,"[304, 500, 506, 512, 523, 770, 880, 1014]"
515,12,1,[304]
145,143,3,"[308, 405, 853]"
146,148,1,[309]
234,148,1,[311]
144,142,1,[311]
28,26,7,"[314, 500, 506, 512, 771, 1011, 1018]"
26,25,8,"[314, 500, 506, 512, 608, 771, 1011, 1018]"
25,205,9,"[314, 500, 506, 509, 512, 517, 770, 771, 1014]"
345,0,4,"[316, 408, 812, 827]"
0,414,6,"[318, 438, 736, 912, 917, 929]"
414,0,6,"[318, 438, 736, 912, 917, 929]"
230,227,1,[321]
324,415,1,[325]
415,416,1,[325]
416,417,3,"[325, 328, 330]"
417,425,1,[325]
425,423,1,[325]
423,418,3,"[325, 328, 329]"
418,419,1,[325]
419,420,1,[325]
420,421,1,[325]
421,422,5,"[325, 328, 329, 330]"
422,418,3,"[325, 329, 330]"
418,423,3,"[325, 329, 330]"
423,416,1,[325]
416,424,1,[325]
424,324,1,[325]
392,424,1,[328]
424,416,4,"[328, 329, 330]"
417,423,1,[328]
418,422,2,"[328, 329]"
422,421,1,[328]
422,419,3,"[328, 329, 330]"
419,421,4,"[328, 329, 330]"
421,419,1,[329]
423,426,2,"[329, 330]"
426,425,3,"[329, 330]"
425,417,3,"[329, 330]"
417,416,1,[329]
416,415,2,"[329, 330]"
415,424,3,"[329, 330]"
416,425,1,[329]
425,426,1,[329]
426,423,1,[329]
417,415,2,[330]
417,426,1,[330]
0,616,1,[332]
616,283,4,"[332, 710, 967, 1033]"
283,617,5,"[332, 481, 967, 968, 1033]"
617,0,5,"[332, 481, 967, 968, 1033]"
281,310,2,"[335, 353]"
311,0,2,"[335, 353]"
284,92,7,"[337, 565, 785, 787, 789, 791, 793]"
92,427,5,"[337, 537, 565, 626, 695]"
427,428,4,"[337, 537, 565, 695]"
428,429,4,"[337, 537, 565, 695]"
429,430,5,"[337, 537, 565, 626, 629]"
430,98,5,"[337, 537, 565, 626, 629]"
79,431,4,"[339, 616, 631, 719]"
431,432,4,"[339, 616, 631, 719]"
432,79,4,"[339, 361, 616, 719]"
0,433,6,"[344, 345, 347, 353, 356, 989]"
433,434,5,"[344, 345, 347, 356, 989]"
434,435,5,"[344, 345, 347, 356, 989]"
435,0,6,"[344, 345, 347, 356, 711, 989]"
0,436,2,"[349, 367]"
436,0,2,"[349, 367]"
433,0,2,"[353, 730]"
380,383,2,"[355, 746]"
378,437,2,"[355, 746]"
437,375,3,"[355, 550, 560]"
279,281,2,"[356, 610]"
281,438,4,"[356, 619, 967, 1031]"
438,282,4,"[356, 619, 967, 1031]"
283,439,5,"[356, 481, 710, 711, 968]"
439,283,6,"[356, 481, 710, 711, 747, 968]"
118,396,1,[357]
396,119,6,"[357, 359, 577, 578, 640, 949]"
0,281,2,"[358, 359]"
281,0,3,"[358, 359, 480]"
112,115,1,[359]
441,396,5,"[359, 577, 578, 640, 949]"
79,432,2,"[361, 553]"
106,120,4,"[366, 534, 620, 1039]"
120,0,4,"[366, 534, 620, 1039]"
236,300,4,"[369, 468, 826, 899]"
31,442,3,"[369, 736, 899]"
442,240,2,"[369, 899]"
240,14,1,[369]
14,238,1,[369]
238,237,1,[369]
0,346,6,"[370, 419, 649, 809, 1060, 1061]"
506,369,1,[393]
369,361,1,[393]
274,0,3,"[395, 592, 736]"
0,200,6,"[395, 586, 592, 602, 736, 1095]"
0,322,8,"[396, 397, 468, 781, 831, 1013, 1016, 1019]"
322,235,8,"[396, 397, 468, 781, 831, 1013, 1016, 1019]"
235,300,2,"[396, 1016]"
237,241,5,"[396, 781, 831, 915, 1070]"
241,240,5,"[396, 781, 831, 915, 1070]"
238,241,2,"[396, 397]"
300,299,2,"[396, 512]"
299,235,2,"[396, 512]"
237,238,1,[397]
200,244,11,"[399, 586, 588, 592, 602, 736, 777, 778, 836, 909, 1095]"
244,246,6,"[399, 514, 663, 777, 778, 909]"
0,173,1,[404]
175,177,1,[404]
179,444,4,"[404, 489, 658]"
444,443,4,"[404, 489, 658]"
443,510,4,"[404, 489, 658]"
510,443,2,"[404, 658]"
443,444,2,"[404, 658]"
444,179,2,"[404, 658]"
318,172,1,[404]
234,411,3,"[405, 504, 813]"
411,148,3,"[405, 813, 916]"
148,146,1,[405]
141,255,3,"[405, 853, 916]"
256,139,1,[405]
139,445,3,"[405, 853, 1081]"
445,599,2,"[405, 853]"
265,446,2,"[405, 916]"
446,261,1,[405]
261,260,2,"[405, 1081]"
259,258,2,"[405, 1081]"
258,269,1,[405]
269,447,1,[405]
255,254,4,"[405, 853, 916, 1081]"
142,144,1,[405]
0,448,3,"[407, 600, 675]"
448,0,3,"[407, 600, 675]"
454,449,2,"[409, 725]"
449,570,3,"[409, 715, 725]"
570,450,3,"[409, 715, 725]"
450,451,3,"[409, 715, 725]"
451,452,3,"[409, 715, 725]"
452,451,3,"[409, 715, 725]"
451,453,1,[409]
453,451,1,[409]
451,450,3,"[409, 715, 725]"
450,449,1,[409]
449,454,2,"[409, 996]"
18,455,3,"[413, 604, 899]"
455,20,2,"[413, 899]"
19,455,2,"[413, 1092]"
455,18,3,"[413, 608, 1092]"
12,456,3,"[417, 930, 1092]"
456,14,3,"[417, 930, 1092]"
0,457,1,[422]
457,0,1,[422]
0,458,1,[425]
458,0,1,[425]
0,317,1,[426]
317,316,1,[426]
316,218,2,"[426, 427]"
218,459,1,[427]
459,130,1,[427]
130,317,1,[427]
317,306,1,[427]
306,316,1,[427]
31,301,1,[443]
301,319,1,[443]
216,205,2,"[443, 1019]"
210,460,3,"[443, 444, 770]"
460,461,5,"[443, 444, 770, 880, 1017]"
461,591,4,"[443, 770, 880, 1017]"
591,470,1,[443]
470,462,2,"[443, 769]"
462,589,1,[443]
589,463,2,"[443, 879]"
463,471,1,[443]
471,588,2,"[443, 770]"
588,464,1,[443]
464,465,1,[443]
465,466,2,"[443, 769]"
466,467,3,"[443, 770, 879]"
467,468,2,"[443, 1017]"
468,469,3,"[443, 880, 1017]"
469,468,4,"[443, 769, 770, 1017]"
468,466,2,"[443, 444]"
466,465,3,"[443, 444, 1017]"
465,603,1,[443]
603,463,1,[443]
463,587,2,"[443, 444]"
587,462,3,"[443, 444, 770]"
462,470,5,"[443, 444, 770, 879, 880]"
470,461,2,"[443, 770]"
461,460,5,"[443, 444, 769, 770, 880]"
460,214,4,"[443, 769, 770, 880]"
461,590,2,"[444, 879]"
590,587,1,[444]
587,471,1,[444]
471,603,2,"[444, 1017]"
603,474,1,[444]
474,472,2,"[444, 879]"
472,592,3,"[444, 770, 879]"
592,466,4,"[444, 770, 879, 880]"
466,473,1,[444]
473,469,4,"[444, 769, 770, 879]"
469,473,3,"[444, 879, 880]"
473,468,1,[444]
465,472,1,[444]
472,474,2,"[444, 879]"
474,602,1,[444]
602,463,1,[444]
470,475,1,[444]
475,591,3,"[444, 879, 880]"
591,461,2,"[444, 880]"
460,25,1,[444]
12,320,6,"[445, 512, 522, 604, 771, 1018]"
320,319,2,"[445, 604]"
319,321,5,"[445, 500, 517, 604, 855]"
0,476,8,"[446, 448, 449, 452, 455, 456, 457, 465]"
476,0,8,"[446, 448, 449, 452, 455, 456, 457, 465]"
0,7,4,"[456, 577, 636, 724]"
7,6,4,"[456, 577, 636, 724]"
321,292,1,[468]
292,295,1,[468]
253,231,1,[469]
232,0,1,[469]
181,196,2,"[469, 860]"
196,193,2,"[469, 860]"
193,182,1,[469]
183,194,2,"[469, 930]"
194,184,1,[469]
375,437,4,"[470, 559, 564, 741]"
437,377,4,"[470, 559, 564, 717]"
378,477,2,"[470, 550]"
477,478,2,"[470, 550]"
478,479,2,"[470, 550]"
479,477,2,"[470, 550]"
477,378,8,"[470, 530, 531, 544, 548, 550, 552, 560]"
50,52,1,[473]
53,405,1,[473]
405,403,2,"[473, 992]"
57,480,1,[473]
480,61,2,"[473, 478]"
64,481,1,[473]
481,482,3,"[473, 487, 705]"
482,483,3,"[473, 487, 705]"
483,614,1,[473]
614,484,4,"[473, 487, 705, 957]"
484,485,2,"[473, 487]"
485,486,2,"[473, 956]"
486,501,5,"[473, 487, 705, 956, 957]"
501,494,2,"[473, 705]"
494,487,6,"[473, 487, 614, 705, 956, 957]"
487,488,2,"[473, 957]"
488,499,3,"[473, 705, 957]"
499,489,5,"[473, 487, 705, 956, 957]"
489,490,3,"[473, 614, 705]"
490,491,2,"[473, 614]"
491,492,1,[473]
492,493,6,"[473, 487, 614, 705, 956, 957]"
493,492,5,"[473, 487, 614, 705, 956]"
492,500,2,"[473, 956]"
500,489,2,"[473, 956]"
489,499,5,"[473, 487, 614, 705, 957]"
499,612,3,"[473, 614, 957]"
612,488,2,"[473, 614]"
488,498,4,"[473, 487, 614, 705]"
498,494,4,"[473, 487, 614, 705]"
494,486,1,[473]
486,485,4,"[473, 487, 705, 957]"
485,484,4,"[473, 487, 705, 957]"
484,567,3,"[473, 705, 957]"
567,482,2,"[473, 705]"
482,481,2,"[473, 722]"
481,64,2,"[473, 722]"
61,480,4,"[473, 614, 956, 957]"
480,59,2,"[473, 957]"
54,338,3,"[473, 956, 957]"
338,53,3,"[473, 722, 957]"
53,52,2,"[473, 957]"
51,343,1,[473]
278,495,4,"[474, 551, 960, 1022]"
495,278,4,"[474, 551, 960, 1022]"
276,334,1,[475]
334,276,1,[475]
0,496,6,"[477, 615, 707, 730, 964, 1028]"
496,0,6,"[477, 615, 707, 730, 964, 1028]"
338,405,2,"[478, 992]"
405,54,1,[478]
56,59,2,"[478, 721]"
341,480,1,[478]
63,340,1,[478]
340,63,1,[478]
57,56,2,"[478, 614]"
403,54,1,[478]
54,502,2,"[478, 487]"
502,73,1,[478]
40,387,2,"[480, 967]"
387,389,1,[480]
0,118,1,[482]
441,118,2,"[482, 900]"
118,363,2,"[482, 900]"
363,0,1,[482]
103,120,1,[483]
53,73,2,"[487, 705]"
73,342,3,"[487, 718, 721]"
65,481,2,"[487, 705]"
483,567,2,"[487, 705]"
567,614,2,"[487, 705]"
485,497,2,"[487, 614]"
497,486,4,"[487, 614, 705, 957]"
501,611,1,[487]
611,494,4,"[487, 614, 956, 957]"
487,498,4,"[487, 614, 705, 956]"
498,488,4,"[487, 614, 705, 956]"
488,612,2,"[487, 956]"
612,499,2,"[487, 956]"
489,491,2,"[487, 956]"
491,500,3,"[487, 614, 956]"
500,492,5,"[487, 614, 705, 956, 957]"
492,491,2,"[487, 705]"
491,489,2,"[487, 705]"
499,488,2,"[487, 705]"
494,615,1,[487]
615,501,1,[487]
501,486,1,[487]
484,614,1,[487]
614,483,1,[487]
483,482,2,"[487, 957]"
482,65,3,"[487, 705, 957]"
60,59,3,"[487, 718, 722]"
502,338,1,[487]
338,73,2,"[487, 956]"
343,337,1,[487]
0,503,11,"[487, 711, 718, 722, 727, 732, 735, 743, 744, 746, 992]"
503,0,11,"[487, 711, 718, 722, 727, 732, 735, 743, 744, 746, 992]"
78,504,2,"[487, 1025]"
504,505,2,"[487, 1025]"
505,506,2,"[487, 1025]"
506,507,3,"[487, 963, 1025]"
507,508,3,"[487, 963, 1025]"
508,376,1,[487]
0,509,10,"[488, 489, 611, 615, 711, 714, 718, 724]"
