SN,SG,k
"[0, 115, 0, 12]","[[35, 3], [35, 36]]",4
"[115, 0, 12, 116]","[[35, 3]]",4
"[116, 115, 5, 83, 0]","[[35, 3], [35, 42]]",5
"[115, 5, 83, 0, 115]","[[35, 3], [35, 42]]",5
"[5, 83, 0, 115, 0]","[[35, 3], [35, 42]]",5
"[83, 0, 115, 0, 12]","[[35, 3], [35, 36]]",5
"[0, 115, 0, 12, 116]","[[35, 3]]",5
"[116, 115, 5, 83, 0, 115]","[[35, 3], [35, 42]]",6
"[115, 5, 83, 0, 115, 0]","[[35, 3], [35, 42]]",6
"[5, 83, 0, 115, 0, 12]","[[35, 3]]",6
"[83, 0, 115, 0, 12, 116]","[[35, 3]]",6
"[116, 115, 5, 83, 0, 115, 0]","[[35, 3], [35, 42]]",7
"[115, 5, 83, 0, 115, 0, 12]","[[35, 3]]",7
"[5, 83, 0, 115, 0, 12, 116]","[[35, 3]]",7
"[116, 115, 5, 83, 0, 115, 0, 12]","[[35, 3]]",8
"[115, 5, 83, 0, 115, 0, 12, 116]","[[35, 3]]",8
"[116, 115, 5, 83, 0, 115, 0, 12, 116]","[[35, 3]]",9
"[116, 12]","[[35, 4], [35, 45]]",2
"[12, 115]","[[35, 4], [35, 45]]",2
"[115, 83]","[[35, 4], [35, 14], [35, 27], [35, 29], [35, 34], [35, 36], [35, 44], [35, 45], [35, 49], [35, 57], [35, 62], [35, 64], [35, 71]]",2
"[83, 118]","[[35, 4], [174, 53]]",2
"[118, 115]","[[35, 4]]",2
"[116, 12, 115]","[[35, 4], [35, 45]]",3
"[12, 115, 83]","[[35, 4]]",3
"[115, 83, 118]","[[35, 4]]",3
"[83, 118, 115]","[[35, 4]]",3
"[118, 115, 0]","[[35, 4]]",3
"[116, 12, 115, 83]","[[35, 4]]",4
"[12, 115, 83, 118]","[[35, 4]]",4
"[115, 83, 118, 115]","[[35, 4]]",4
"[83, 118, 115, 0]","[[35, 4]]",4
"[116, 12, 115, 83, 118]","[[35, 4]]",5
"[12, 115, 83, 118, 115]","[[35, 4]]",5
"[115, 83, 118, 115, 0]","[[35, 4]]",5
"[116, 12, 115, 83, 118, 115]","[[35, 4]]",6
"[12, 115, 83, 118, 115, 0]","[[35, 4]]",6
"[116, 12, 115, 83, 118, 115, 0]","[[35, 4]]",7
"[116, 1]","[[35, 5], [35, 12], [35, 32], [35, 48], [35, 54], [35, 55], [35, 58], [35, 60], [35, 64]]",2
"[1, 115]","[[35, 5], [35, 12], [35, 48], [35, 55], [35, 58], [35, 64], [35, 71]]",2
"[115, 119]","[[35, 5]]",2
"[119, 115]","[[35, 5]]",2
"[116, 1, 115]","[[35, 5], [35, 12], [35, 48], [35, 55], [35, 58], [35, 64]]",3
"[1, 115, 119]","[[35, 5]]",3
"[115, 119, 115]","[[35, 5]]",3
"[119, 115, 0]","[[35, 5]]",3
"[116, 1, 115, 119]","[[35, 5]]",4
"[1, 115, 119, 115]","[[35, 5]]",4
"[115, 119, 115, 0]","[[35, 5]]",4
"[119, 115, 0, 1]","[[35, 5]]",4
"[116, 1, 115, 119, 115]","[[35, 5]]",5
"[1, 115, 119, 115, 0]","[[35, 5]]",5
"[115, 119, 115, 0, 1]","[[35, 5]]",5
"[116, 1, 115, 119, 115, 0]","[[35, 5]]",6
"[1, 115, 119, 115, 0, 1]","[[35, 5]]",6
"[116, 1, 115, 119, 115, 0, 1]","[[35, 5]]",7
"[116, 20]","[[35, 6], [35, 22], [35, 23], [35, 34], [35, 36], [35, 65]]",2
"[20, 120]","[[35, 6], [35, 23]]",2
"[120, 123]","[[35, 6]]",2
"[123, 116]","[[35, 6]]",2
"[116, 121]","[[35, 6], [35, 24]]",2
"[121, 0]","[[35, 6]]",2
"[0, 117]","[[35, 6], [35, 21], [35, 27], [35, 45], [35, 49], [35, 52], [35, 59], [35, 68], [35, 69]]",2
"[117, 116]","[[35, 6], [35, 45], [35, 52], [35, 54]]",2
"[116, 20, 120]","[[35, 6], [35, 23]]",3
"[20, 120, 123]","[[35, 6]]",3
"[120, 123, 116]","[[35, 6]]",3
"[123, 116, 121]","[[35, 6]]",3
"[116, 121, 0]","[[35, 6]]",3
"[121, 0, 117]","[[35, 6]]",3
"[0, 117, 116]","[[35, 6], [35, 45], [35, 52]]",3
"[116, 20, 120, 123]","[[35, 6]]",4
"[20, 120, 123, 116]","[[35, 6]]",4
"[120, 123, 116, 121]","[[35, 6]]",4
"[123, 116, 121, 0]","[[35, 6]]",4
"[116, 121, 0, 117]","[[35, 6]]",4
"[121, 0, 117, 116]","[[35, 6]]",4
"[116, 20, 120, 123, 116]","[[35, 6]]",5
"[20, 120, 123, 116, 121]","[[35, 6]]",5
"[120, 123, 116, 121, 0]","[[35, 6]]",5
"[123, 116, 121, 0, 117]","[[35, 6]]",5
"[116, 121, 0, 117, 116]","[[35, 6]]",5
"[116, 20, 120, 123, 116, 121]","[[35, 6]]",6
"[20, 120, 123, 116, 121, 0]","[[35, 6]]",6
"[120, 123, 116, 121, 0, 117]","[[35, 6]]",6
"[123, 116, 121, 0, 117, 116]","[[35, 6]]",6
"[116, 20, 120, 123, 116, 121, 0]","[[35, 6]]",7
"[20, 120, 123, 116, 121, 0, 117]","[[35, 6]]",7
"[120, 123, 116, 121, 0, 117, 116]","[[35, 6]]",7
"[116, 20, 120, 123, 116, 121, 0, 117]","[[35, 6]]",8
"[20, 120, 123, 116, 121, 0, 117, 116]","[[35, 6]]",8
"[116, 20, 120, 123, 116, 121, 0, 117, 116]","[[35, 6]]",9
"[116, 122]","[[35, 7], [35, 16], [35, 32], [35, 39], [35, 47], [35, 53]]",2
"[122, 66]","[[35, 7]]",2
"[66, 1]","[[35, 7]]",2
"[1, 116]","[[35, 7], [35, 9], [35, 13], [35, 23], [35, 24], [35, 32], [35, 38], [35, 42], [35, 71]]",2
"[116, 0]","[[35, 7], [35, 15], [35, 16], [35, 47], [35, 52], [35, 53], [35, 54], [35, 59], [35, 66]]",2
"[116, 122, 66]","[[35, 7]]",3
"[122, 66, 1]","[[35, 7]]",3
"[66, 1, 116]","[[35, 7]]",3
"[1, 116, 0]","[[35, 7]]",3
"[116, 0, 123]","[[35, 7]]",3
"[116, 122, 66, 1]","[[35, 7]]",4
"[122, 66, 1, 116]","[[35, 7]]",4
"[66, 1, 116, 0]","[[35, 7]]",4
"[1, 116, 0, 123]","[[35, 7]]",4
"[116, 122, 66, 1, 116]","[[35, 7]]",5
"[122, 66, 1, 116, 0]","[[35, 7]]",5
"[66, 1, 116, 0, 123]","[[35, 7]]",5
"[116, 122, 66, 1, 116, 0]","[[35, 7]]",6
"[122, 66, 1, 116, 0, 123]","[[35, 7]]",6
"[116, 122, 66, 1, 116, 0, 123]","[[35, 7]]",7
"[116, 7]","[[35, 8], [35, 13], [35, 31], [35, 35], [35, 57]]",2
"[7, 0]","[[35, 8]]",2
"[4, 83]","[[35, 8], [35, 12], [35, 55], [52, 93], [67, 5], [67, 54], [71, 57], [104, 7], [104, 16], [174, 25], [179, 10]]",2
"[83, 18]","[[35, 8], [67, 40], [67, 66], [74, 2], [74, 9], [74, 58], [74, 72], [168, 39]]",2
"[116, 7, 0]","[[35, 8]]",3
"[7, 0, 4]","[[35, 8]]",3
"[0, 4, 83]","[[35, 8], [52, 93]]",3
"[4, 83, 18]","[[35, 8]]",3
"[116, 7, 0, 4]","[[35, 8]]",4
"[7, 0, 4, 83]","[[35, 8]]",4
"[0, 4, 83, 18]","[[35, 8]]",4
"[116, 7, 0, 4, 83]","[[35, 8]]",5
"[7, 0, 4, 83, 18]","[[35, 8]]",5
"[116, 7, 0, 4, 83, 18]","[[35, 8]]",6
"[0, 124]","[[35, 9]]",2
"[124, 0]","[[35, 9], [67, 45]]",2
"[18, 115]","[[35, 9]]",2
"[0, 124, 0]","[[35, 9]]",3
"[124, 0, 18]","[[35, 9]]",3
"[0, 18, 115]","[[35, 9]]",3
"[18, 115, 0]","[[35, 9]]",3
"[0, 1, 116]","[[35, 9], [35, 13], [35, 23], [35, 24], [35, 38], [35, 42]]",3
"[0, 124, 0, 18]","[[35, 9]]",4
"[124, 0, 18, 115]","[[35, 9]]",4
"[0, 18, 115, 0]","[[35, 9]]",4
"[18, 115, 0, 1]","[[35, 9]]",4
"[115, 0, 1, 116]","[[35, 9], [35, 13], [35, 38], [35, 42]]",4
"[0, 124, 0, 18, 115]","[[35, 9]]",5
"[124, 0, 18, 115, 0]","[[35, 9]]",5
"[0, 18, 115, 0, 1]","[[35, 9]]",5
"[18, 115, 0, 1, 116]","[[35, 9]]",5
"[0, 124, 0, 18, 115, 0]","[[35, 9]]",6
"[124, 0, 18, 115, 0, 1]","[[35, 9]]",6
"[0, 18, 115, 0, 1, 116]","[[35, 9]]",6
"[0, 124, 0, 18, 115, 0, 1]","[[35, 9]]",7
"[124, 0, 18, 115, 0, 1, 116]","[[35, 9]]",7
"[0, 124, 0, 18, 115, 0, 1, 116]","[[35, 9]]",8
"[0, 119]","[[35, 10]]",2
"[119, 83]","[[35, 10]]",2
"[116, 115, 0]","[[35, 10], [35, 33], [35, 40], [35, 51]]",3
"[115, 0, 119]","[[35, 10]]",3
"[0, 119, 83]","[[35, 10]]",3
"[116, 115, 0, 119]","[[35, 10]]",4
"[115, 0, 119, 83]","[[35, 10]]",4
"[116, 115, 0, 119, 83]","[[35, 10]]",5
"[115, 4]","[[35, 12], [35, 55]]",2
"[0, 125]","[[35, 12]]",2
"[125, 116]","[[35, 12]]",2
"[1, 115, 4]","[[35, 12]]",3
"[115, 4, 83]","[[35, 12], [35, 55]]",3
"[4, 83, 0]","[[35, 12], [35, 55], [67, 5], [67, 54], [71, 57]]",3
"[83, 0, 125]","[[35, 12]]",3
"[0, 125, 116]","[[35, 12]]",3
"[116, 1, 115, 4]","[[35, 12]]",4
"[1, 115, 4, 83]","[[35, 12]]",4
"[115, 4, 83, 0]","[[35, 12], [35, 55]]",4
"[4, 83, 0, 125]","[[35, 12]]",4
"[83, 0, 125, 116]","[[35, 12]]",4
"[116, 1, 115, 4, 83]","[[35, 12]]",5
"[1, 115, 4, 83, 0]","[[35, 12]]",5
"[115, 4, 83, 0, 125]","[[35, 12]]",5
"[4, 83, 0, 125, 116]","[[35, 12]]",5
"[116, 1, 115, 4, 83, 0]","[[35, 12]]",6
"[1, 115, 4, 83, 0, 125]","[[35, 12]]",6
"[115, 4, 83, 0, 125, 116]","[[35, 12]]",6
"[116, 1, 115, 4, 83, 0, 125]","[[35, 12]]",7
"[1, 115, 4, 83, 0, 125, 116]","[[35, 12]]",7
"[116, 1, 115, 4, 83, 0, 125, 116]","[[35, 12]]",8
"[7, 115]","[[35, 13], [35, 35], [35, 57]]",2
"[40, 83]","[[35, 13], [35, 20], [35, 28], [35, 33], [35, 35], [35, 37], [35, 40], [35, 48], [35, 50], [35, 52], [35, 58], [35, 67], [35, 74], [74, 33], [147, 75], [147, 80]]",2
"[83, 6]","[[35, 13], [67, 42], [71, 9], [71, 22], [74, 35]]",2
"[116, 7, 115]","[[35, 13], [35, 35], [35, 57]]",3
"[7, 115, 0]","[[35, 13]]",3
"[115, 0, 40]","[[35, 13], [35, 33], [35, 40], [35, 48], [35, 58], [35, 67], [35, 74]]",3
"[0, 40, 83]","[[35, 13], [35, 33], [35, 40], [35, 48], [35, 58], [35, 67], [35, 74]]",3
"[40, 83, 6]","[[35, 13]]",3
"[83, 6, 0]","[[35, 13], [67, 42], [71, 22]]",3
"[6, 0, 115]","[[35, 13]]",3
"[116, 7, 115, 0]","[[35, 13]]",4
"[7, 115, 0, 40]","[[35, 13]]",4
"[115, 0, 40, 83]","[[35, 13], [35, 33], [35, 40], [35, 48], [35, 58], [35, 67], [35, 74]]",4
"[0, 40, 83, 6]","[[35, 13]]",4
"[40, 83, 6, 0]","[[35, 13]]",4
"[83, 6, 0, 115]","[[35, 13]]",4
"[6, 0, 115, 0]","[[35, 13]]",4
"[0, 115, 0, 1]","[[35, 13], [35, 18], [35, 30], [35, 35], [35, 42], [35, 44], [35, 51], [35, 62]]",4
"[116, 7, 115, 0, 40]","[[35, 13]]",5
"[7, 115, 0, 40, 83]","[[35, 13]]",5
"[115, 0, 40, 83, 6]","[[35, 13]]",5
"[0, 40, 83, 6, 0]","[[35, 13]]",5
"[40, 83, 6, 0, 115]","[[35, 13]]",5
"[83, 6, 0, 115, 0]","[[35, 13]]",5
"[6, 0, 115, 0, 1]","[[35, 13]]",5
"[0, 115, 0, 1, 116]","[[35, 13], [35, 42]]",5
"[116, 7, 115, 0, 40, 83]","[[35, 13]]",6
"[7, 115, 0, 40, 83, 6]","[[35, 13]]",6
"[115, 0, 40, 83, 6, 0]","[[35, 13]]",6
"[0, 40, 83, 6, 0, 115]","[[35, 13]]",6
"[40, 83, 6, 0, 115, 0]","[[35, 13]]",6
"[83, 6, 0, 115, 0, 1]","[[35, 13]]",6
"[6, 0, 115, 0, 1, 116]","[[35, 13]]",6
"[116, 7, 115, 0, 40, 83, 6]","[[35, 13]]",7
"[7, 115, 0, 40, 83, 6, 0]","[[35, 13]]",7
"[115, 0, 40, 83, 6, 0, 115]","[[35, 13]]",7
"[0, 40, 83, 6, 0, 115, 0]","[[35, 13]]",7
"[40, 83, 6, 0, 115, 0, 1]","[[35, 13]]",7
"[83, 6, 0, 115, 0, 1, 116]","[[35, 13]]",7
"[116, 7, 115, 0, 40, 83, 6, 0]","[[35, 13]]",8
"[7, 115, 0, 40, 83, 6, 0, 115]","[[35, 13]]",8
"[115, 0, 40, 83, 6, 0, 115, 0]","[[35, 13]]",8
"[0, 40, 83, 6, 0, 115, 0, 1]","[[35, 13]]",8
"[40, 83, 6, 0, 115, 0, 1, 116]","[[35, 13]]",8
"[116, 7, 115, 0, 40, 83, 6, 0, 115]","[[35, 13]]",9
"[7, 115, 0, 40, 83, 6, 0, 115, 0]","[[35, 13]]",9
"[115, 0, 40, 83, 6, 0, 115, 0, 1]","[[35, 13]]",9
"[0, 40, 83, 6, 0, 115, 0, 1, 116]","[[35, 13]]",9
"[116, 7, 115, 0, 40, 83, 6, 0, 115, 0]","[[35, 13]]",10
"[7, 115, 0, 40, 83, 6, 0, 115, 0, 1]","[[35, 13]]",10
"[115, 0, 40, 83, 6, 0, 115, 0, 1, 116]","[[35, 13]]",10
"[116, 7, 115, 0, 40, 83, 6, 0, 115, 0, 1]","[[35, 13]]",11
"[7, 115, 0, 40, 83, 6, 0, 115, 0, 1, 116]","[[35, 13]]",11
"[116, 7, 115, 0, 40, 83, 6, 0, 115, 0, 1, 116]","[[35, 13]]",12
"[83, 119]","[[35, 14]]",2
"[119, 0]","[[35, 14]]",2
"[116, 115, 83]","[[35, 14], [35, 27], [35, 29], [35, 44], [35, 57], [35, 62]]",3
"[115, 83, 119]","[[35, 14]]",3
"[83, 119, 0]","[[35, 14]]",3
"[119, 0, 1]","[[35, 14]]",3
"[116, 115, 83, 119]","[[35, 14]]",4
"[115, 83, 119, 0]","[[35, 14]]",4
"[83, 119, 0, 1]","[[35, 14]]",4
"[116, 115, 83, 119, 0]","[[35, 14]]",5
"[115, 83, 119, 0, 1]","[[35, 14]]",5
"[116, 115, 83, 119, 0, 1]","[[35, 14]]",6
"[116, 8]","[[35, 15], [35, 67]]",2
"[8, 120]","[[35, 15]]",2
"[120, 126]","[[35, 15]]",2
"[126, 116]","[[35, 15]]",2
"[116, 8, 120]","[[35, 15]]",3
"[8, 120, 126]","[[35, 15]]",3
"[120, 126, 116]","[[35, 15]]",3
"[126, 116, 0]","[[35, 15]]",3
"[116, 0, 1]","[[35, 15], [35, 16]]",3
"[116, 8, 120, 126]","[[35, 15]]",4
"[8, 120, 126, 116]","[[35, 15]]",4
"[120, 126, 116, 0]","[[35, 15]]",4
"[126, 116, 0, 1]","[[35, 15]]",4
"[116, 8, 120, 126, 116]","[[35, 15]]",5
"[8, 120, 126, 116, 0]","[[35, 15]]",5
"[120, 126, 116, 0, 1]","[[35, 15]]",5
"[116, 8, 120, 126, 116, 0]","[[35, 15]]",6
"[8, 120, 126, 116, 0, 1]","[[35, 15]]",6
"[116, 8, 120, 126, 116, 0, 1]","[[35, 15]]",7
"[122, 116]","[[35, 16], [35, 39], [35, 47], [35, 53]]",2
"[116, 122, 116]","[[35, 16], [35, 39], [35, 47], [35, 53]]",3
"[122, 116, 0]","[[35, 16], [35, 47], [35, 53]]",3
"[116, 122, 116, 0]","[[35, 16], [35, 47], [35, 53]]",4
"[122, 116, 0, 1]","[[35, 16]]",4
"[116, 122, 116, 0, 1]","[[35, 16]]",5
"[116, 127]","[[35, 17], [35, 38], [35, 46]]",2
"[127, 115]","[[35, 17], [35, 38]]",2
"[0, 83]","[[35, 17], [35, 43], [35, 60], [35, 65], [67, 5], [67, 41], [67, 48], [67, 49], [67, 51], [67, 56], [67, 60], [67, 63], [67, 65], [67, 70], [67, 71], [67, 74], [67, 78], [67, 84], [67, 87], [67, 88], [67, 91], [67, 95], [67, 97], [67, 101], [67, 102], [67, 103], [71, 3], [71, 5], [71, 14], [71, 20], [71, 23], [71, 25], [71, 26], [71, 40], [71, 43], [71, 45], [71, 52], [71, 66], [74, 8], [74, 13], [74, 15], [74, 17], [74, 24], [74, 27], [74, 32], [74, 34], [74, 38], [74, 41], [74, 42], [74, 46], [74, 48], [74, 50], [74, 55], [74, 57], [74, 61], [74, 63], [74, 66], [74, 75], [74, 79], [74, 85], [74, 88], [147, 64], [147, 70], [147, 77]]",2
"[83, 21]","[[35, 17], [38, 49], [38, 55], [74, 16]]",2
"[21, 83]","[[35, 17], [35, 19], [35, 21], [38, 49], [174, 45], [174, 51]]",2
"[116, 127, 115]","[[35, 17], [35, 38]]",3
"[127, 115, 0]","[[35, 17], [35, 38]]",3
"[115, 0, 83]","[[35, 17]]",3
"[0, 83, 21]","[[35, 17]]",3
"[83, 21, 83]","[[35, 17]]",3
"[116, 127, 115, 0]","[[35, 17], [35, 38]]",4
"[127, 115, 0, 83]","[[35, 17]]",4
"[115, 0, 83, 21]","[[35, 17]]",4
"[0, 83, 21, 83]","[[35, 17]]",4
"[116, 127, 115, 0, 83]","[[35, 17]]",5
"[127, 115, 0, 83, 21]","[[35, 17]]",5
"[115, 0, 83, 21, 83]","[[35, 17]]",5
"[116, 127, 115, 0, 83, 21]","[[35, 17]]",6
"[127, 115, 0, 83, 21, 83]","[[35, 17]]",6
"[116, 127, 115, 0, 83, 21, 83]","[[35, 17]]",7
"[116, 128]","[[35, 19], [35, 20], [35, 21]]",2
"[128, 115]","[[35, 19], [35, 20], [35, 21]]",2
"[115, 21]","[[35, 19], [35, 21]]",2
"[3, 116]","[[35, 19], [35, 34], [35, 53]]",2
"[116, 128, 115]","[[35, 19], [35, 20], [35, 21]]",3
"[128, 115, 21]","[[35, 19], [35, 21]]",3
"[115, 21, 83]","[[35, 19], [35, 21]]",3
"[21, 83, 0]","[[35, 19], [35, 21]]",3
"[115, 0, 3]","[[35, 19], [35, 34], [35, 41]]",3
"[0, 3, 116]","[[35, 19], [35, 34], [35, 53]]",3
"[116, 128, 115, 21]","[[35, 19], [35, 21]]",4
"[128, 115, 21, 83]","[[35, 19], [35, 21]]",4
"[115, 21, 83, 0]","[[35, 19], [35, 21]]",4
"[21, 83, 0, 115]","[[35, 19], [35, 21]]",4
"[0, 115, 0, 3]","[[35, 19], [35, 34], [35, 41]]",4
"[115, 0, 3, 116]","[[35, 19], [35, 34]]",4
"[116, 128, 115, 21, 83]","[[35, 19], [35, 21]]",5
"[128, 115, 21, 83, 0]","[[35, 19], [35, 21]]",5
"[115, 21, 83, 0, 115]","[[35, 19], [35, 21]]",5
"[21, 83, 0, 115, 0]","[[35, 19], [35, 21]]",5
"[83, 0, 115, 0, 3]","[[35, 19]]",5
"[0, 115, 0, 3, 116]","[[35, 19], [35, 34]]",5
"[116, 128, 115, 21, 83, 0]","[[35, 19], [35, 21]]",6
"[128, 115, 21, 83, 0, 115]","[[35, 19], [35, 21]]",6
"[115, 21, 83, 0, 115, 0]","[[35, 19], [35, 21]]",6
"[21, 83, 0, 115, 0, 3]","[[35, 19]]",6
"[83, 0, 115, 0, 3, 116]","[[35, 19]]",6
"[116, 128, 115, 21, 83, 0, 115]","[[35, 19], [35, 21]]",7
"[128, 115, 21, 83, 0, 115, 0]","[[35, 19], [35, 21]]",7
"[115, 21, 83, 0, 115, 0, 3]","[[35, 19]]",7
"[21, 83, 0, 115, 0, 3, 116]","[[35, 19]]",7
"[116, 128, 115, 21, 83, 0, 115, 0]","[[35, 19], [35, 21]]",8
"[128, 115, 21, 83, 0, 115, 0, 3]","[[35, 19]]",8
"[115, 21, 83, 0, 115, 0, 3, 116]","[[35, 19]]",8
"[116, 128, 115, 21, 83, 0, 115, 0, 3]","[[35, 19]]",9
"[128, 115, 21, 83, 0, 115, 0, 3, 116]","[[35, 19]]",9
"[116, 128, 115, 21, 83, 0, 115, 0, 3, 116]","[[35, 19]]",10
"[115, 40]","[[35, 20], [35, 22], [35, 28], [35, 30], [35, 35], [35, 37], [35, 43], [35, 45], [35, 50], [35, 52], [35, 57], [35, 63], [35, 65], [35, 70], [35, 71]]",2
"[83, 28]","[[35, 20], [71, 49]]",2
"[28, 0]","[[35, 20], [35, 25], [52, 21], [71, 50], [71, 63]]",2
"[115, 125]","[[35, 20]]",2
"[125, 5]","[[35, 20]]",2
"[5, 1]","[[35, 20]]",2
"[128, 115, 40]","[[35, 20]]",3
"[115, 40, 83]","[[35, 20], [35, 28], [35, 35], [35, 37], [35, 50], [35, 52]]",3
"[40, 83, 28]","[[35, 20]]",3
"[83, 28, 0]","[[35, 20]]",3
"[28, 0, 115]","[[35, 20]]",3
"[0, 115, 125]","[[35, 20]]",3
"[115, 125, 5]","[[35, 20]]",3
"[125, 5, 1]","[[35, 20]]",3
"[116, 128, 115, 40]","[[35, 20]]",4
"[128, 115, 40, 83]","[[35, 20]]",4
"[115, 40, 83, 28]","[[35, 20]]",4
"[40, 83, 28, 0]","[[35, 20]]",4
"[83, 28, 0, 115]","[[35, 20]]",4
"[28, 0, 115, 125]","[[35, 20]]",4
"[0, 115, 125, 5]","[[35, 20]]",4
"[115, 125, 5, 1]","[[35, 20]]",4
"[116, 128, 115, 40, 83]","[[35, 20]]",5
"[128, 115, 40, 83, 28]","[[35, 20]]",5
"[115, 40, 83, 28, 0]","[[35, 20]]",5
"[40, 83, 28, 0, 115]","[[35, 20]]",5
"[83, 28, 0, 115, 125]","[[35, 20]]",5
"[28, 0, 115, 125, 5]","[[35, 20]]",5
"[0, 115, 125, 5, 1]","[[35, 20]]",5
"[116, 128, 115, 40, 83, 28]","[[35, 20]]",6
"[128, 115, 40, 83, 28, 0]","[[35, 20]]",6
"[115, 40, 83, 28, 0, 115]","[[35, 20]]",6
"[40, 83, 28, 0, 115, 125]","[[35, 20]]",6
"[83, 28, 0, 115, 125, 5]","[[35, 20]]",6
"[28, 0, 115, 125, 5, 1]","[[35, 20]]",6
"[116, 128, 115, 40, 83, 28, 0]","[[35, 20]]",7
"[128, 115, 40, 83, 28, 0, 115]","[[35, 20]]",7
"[115, 40, 83, 28, 0, 115, 125]","[[35, 20]]",7
"[40, 83, 28, 0, 115, 125, 5]","[[35, 20]]",7
"[83, 28, 0, 115, 125, 5, 1]","[[35, 20]]",7
"[116, 128, 115, 40, 83, 28, 0, 115]","[[35, 20]]",8
"[128, 115, 40, 83, 28, 0, 115, 125]","[[35, 20]]",8
"[115, 40, 83, 28, 0, 115, 125, 5]","[[35, 20]]",8
"[40, 83, 28, 0, 115, 125, 5, 1]","[[35, 20]]",8
"[116, 128, 115, 40, 83, 28, 0, 115, 125]","[[35, 20]]",9
"[128, 115, 40, 83, 28, 0, 115, 125, 5]","[[35, 20]]",9
"[115, 40, 83, 28, 0, 115, 125, 5, 1]","[[35, 20]]",9
"[116, 128, 115, 40, 83, 28, 0, 115, 125, 5]","[[35, 20]]",10
"[128, 115, 40, 83, 28, 0, 115, 125, 5, 1]","[[35, 20]]",10
"[116, 128, 115, 40, 83, 28, 0, 115, 125, 5, 1]","[[35, 20]]",11
"[115, 0, 117]","[[35, 21], [35, 27], [35, 45], [35, 49], [35, 52], [35, 68], [35, 69]]",3
"[0, 115, 0, 117]","[[35, 21], [35, 27], [35, 45], [35, 49], [35, 52], [35, 68], [35, 69]]",4
"[83, 0, 115, 0, 117]","[[35, 21], [35, 27], [35, 45], [35, 49], [35, 52], [35, 69]]",5
"[21, 83, 0, 115, 0, 117]","[[35, 21]]",6
"[115, 21, 83, 0, 115, 0, 117]","[[35, 21]]",7
"[128, 115, 21, 83, 0, 115, 0, 117]","[[35, 21]]",8
"[116, 128, 115, 21, 83, 0, 115, 0, 117]","[[35, 21]]",9
"[20, 115]","[[35, 22], [35, 34], [35, 36], [35, 65]]",2
"[40, 18]","[[35, 22], [35, 57], [35, 70]]",2
"[18, 83]","[[35, 22], [35, 57], [35, 70], [67, 90], [74, 36], [74, 78]]",2
"[0, 116]","[[35, 22], [35, 28], [35, 29], [35, 34], [35, 47], [35, 54], [35, 57], [35, 63], [35, 66], [35, 70], [35, 73]]",2
"[116, 20, 115]","[[35, 22], [35, 34], [35, 36], [35, 65]]",3
"[20, 115, 40]","[[35, 22], [35, 65]]",3
"[115, 40, 18]","[[35, 22], [35, 57], [35, 70]]",3
"[40, 18, 83]","[[35, 22], [35, 57], [35, 70]]",3
"[18, 83, 0]","[[35, 22], [35, 57], [35, 70], [74, 36]]",3
"[115, 0, 116]","[[35, 22], [35, 28], [35, 29], [35, 34], [35, 57], [35, 63], [35, 70]]",3
"[116, 20, 115, 40]","[[35, 22], [35, 65]]",4
"[20, 115, 40, 18]","[[35, 22]]",4
"[115, 40, 18, 83]","[[35, 22], [35, 57], [35, 70]]",4
"[40, 18, 83, 0]","[[35, 22], [35, 57], [35, 70]]",4
"[18, 83, 0, 115]","[[35, 22], [35, 57], [35, 70]]",4
"[0, 115, 0, 116]","[[35, 22], [35, 28], [35, 29], [35, 34], [35, 57], [35, 63], [35, 70]]",4
"[116, 20, 115, 40, 18]","[[35, 22]]",5
"[20, 115, 40, 18, 83]","[[35, 22]]",5
"[115, 40, 18, 83, 0]","[[35, 22], [35, 57], [35, 70]]",5
"[40, 18, 83, 0, 115]","[[35, 22], [35, 57], [35, 70]]",5
"[18, 83, 0, 115, 0]","[[35, 22], [35, 57], [35, 70]]",5
"[83, 0, 115, 0, 116]","[[35, 22], [35, 28], [35, 29], [35, 34], [35, 57], [35, 63], [35, 70]]",5
"[116, 20, 115, 40, 18, 83]","[[35, 22]]",6
"[20, 115, 40, 18, 83, 0]","[[35, 22]]",6
"[115, 40, 18, 83, 0, 115]","[[35, 22], [35, 57], [35, 70]]",6
"[40, 18, 83, 0, 115, 0]","[[35, 22], [35, 57], [35, 70]]",6
"[18, 83, 0, 115, 0, 116]","[[35, 22], [35, 57], [35, 70]]",6
"[116, 20, 115, 40, 18, 83, 0]","[[35, 22]]",7
"[20, 115, 40, 18, 83, 0, 115]","[[35, 22]]",7
"[115, 40, 18, 83, 0, 115, 0]","[[35, 22], [35, 57], [35, 70]]",7
"[40, 18, 83, 0, 115, 0, 116]","[[35, 22], [35, 57], [35, 70]]",7
"[116, 20, 115, 40, 18, 83, 0, 115]","[[35, 22]]",8
"[20, 115, 40, 18, 83, 0, 115, 0]","[[35, 22]]",8
"[115, 40, 18, 83, 0, 115, 0, 116]","[[35, 22], [35, 57], [35, 70]]",8
"[116, 20, 115, 40, 18, 83, 0, 115, 0]","[[35, 22]]",9
"[20, 115, 40, 18, 83, 0, 115, 0, 116]","[[35, 22]]",9
"[116, 20, 115, 40, 18, 83, 0, 115, 0, 116]","[[35, 22]]",10
"[120, 21]","[[35, 23]]",2
"[21, 129]","[[35, 23], [38, 42]]",2
"[129, 4]","[[35, 23]]",2
